label,value
Nouadhibou,173525.0
Haarlem,162543.0
Mbeya,541603.0
Port Said,791749.0
Skikda,163318.0
Khan Yunis,205125.0
Bata,290000.0
Ordu,229214.0
Kabul,5333284.0
Bulawayo,665940.0
Białystok,290386.0
Mansoura,621953.0
Podgorica,150977.0
Messina,218786.0
Naypyidaw,1160242.0
Santiago de Cuba,506037.0
Jalandhar,873725.0
Acapulco de Juárez,673478.0
Coimbatore,959823.0
Deir ez-Zor,271800.0
Cardiff,383536.0
Alcobendas,123342.0
Shobra Elkhema,1025569.0
Bangkok,5676648.0
Vijayapura,327427.0
Patna,1684222.0
Malatya,426381.0
Breda,188078.0
Gaza City,590481.0
Gandhinagar,292167.0
Belo Horizonte,2315560.0
Harare,2150000.0
Málaga,599063.0
Matanzas,151624.0
Guelph,143740.0
Stamford,135470.0
Colombo,647557.0
Malmö,339316.0
Singapore,5866139.0
Jerusalem,1050151.0
Plzeň,187928.0
Southampton,271173.0
Lhasa,867891.0
Antalya,2426356.0
Olomouc,103063.0
Zapopan,1257547.0
Cluj-Napoca,286598.0
San Francisco de Campeche,249623.0
Ansan,623256.0
Nasiriyah,541600.0
Würzburg,133258.0
Gilgit,261440.0
Machilipatnam,169892.0
Lublin,334681.0
Manisa,420015.0
Mandalay,1225546.0
Mumbai,15414288.0
Gwalior,1069276.0
Ghazni,143379.0
Ekibastuz,159760.0
Bristol,472465.0
Foggia,145348.0
Asunción,462241.0
Meknes,551503.0
Rawalpindi,2098231.0
East London,478676.0
Cabinda,739182.0
Beijing,21893095.0
Belgaum,488157.0
Kitwe,625000.0
Hillah,541034.0
Kumasi,3903480.0
Perth,2141834.0
Dundee,148280.0
Vadodara,3100260.0
Pattaya,119532.0
Callao,567702.0
Desouk,143404.0
Faisalabad,3203846.0
Aberdeen,200680.0
Rosetta,125778.0
Karaman,168299.0
Recife,1488920.0
Johannesburg,4803262.0
Espoo,325716.0
Belgrade,1197714.0
Newport,159600.0
Kütahya,266784.0
Copenhagen,667099.0
Düzce,240633.0
Raqqa,299824.0
Wolverhampton,250970.0
Gloucester,145563.0
Milton Keynes,264349.0
Amsterdam,921468.0
Aligarh,874408.0
Taipei,2442991.0
Perugia,161748.0
Holon,194300.0
Sabratha,102038.0
Nouakchott,1446761.0
Salerno,127186.0
Pavlodar,333190.0
City of Westminster,211365.0
Guantánamo,228436.0
Pinar del Río,188614.0
Bikaner,529007.0
Plymouth,267918.0
Soweto,1271628.0
Abidjan,5616633.0
Turkistan,227098.0
Nyíregyháza,114873.0
Jyväskylä,149895.0
Algiers,2364230.0
Cairns,146778.0
Bonn,335789.0
Syracuse,115515.0
Olsztyn,170225.0
Harar,157000.0
Thunder Bay,108843.0
Constantine,465138.0
Nassau,227940.0
Nellore,547621.0
Erbil,846000.0
Jammu,502197.0
Katowice,278090.0
Šiauliai,104300.0
Lanzhou,4359446.0
Bahir Dar,243300.0
Trier,112737.0
Rotterdam,664311.0
Thanjavur,222943.0
Bloemfontein,256185.0
Derby,255394.0
Tekirdağ,204001.0
Trieste,198417.0
Tashkent,2956384.0
Bissau,492004.0
Tauranga,151300.0
Toyama,413028.0
Potosí,189652.0
Sarajevo,275524.0
Prayagraj,5954391.0
Zacatecas,149607.0
Tamale,729768.0
Abeokuta,888924.0
Ningbo,9404283.0
Peterborough,194000.0
Kakinada,384182.0
Tripoli,1293016.0
Caracas,2245744.0
Walvis Bay,102704.0
Erzurum,767848.0
Batumi,235668.0
Oxford,147500.0
Chelmsford,115369.0
Pul-e Khomri,113500.0
Veracruz,8062579.0
Kingston,937700.0
Durban,595061.0
Aktau,183350.0
İzmit,376056.0
Muzaffarabad,149913.0
Abu Dhabi,1570000.0
Afyonkarahisar,299673.0
Rzeszów,195871.0
Cambridge,123867.0
Çorum,269595.0
Darwin,139902.0
Iquitos,377609.0
Sancti Spíritus,138504.0
Aguascalientes City,934424.0
Gangtok,100286.0
Nablus,177638.0
Terni,106370.0
Diyarbakır,1732396.0
Cuenca,361524.0
Torreón,690193.0
Kaunas,305120.0
Barishal,328278.0
Santiago de Querétaro,794789.0
Prizren,186986.0
York,208400.0
New Taipei City,4046037.0
Maracay,1102088.0
Pune,6200000.0
Lusaka,2467563.0
Sloviansk,105141.0
Luxor,202232.0
Netanya,217200.0
Kilis,112187.0
Baia Mare,108759.0
Beşiktaş,175190.0
Liverpool,513441.0
Terrassa,233270.0
Termez,136200.0
Kuala Lumpur,9000280.0
Toamasina,225116.0
Shillong,143229.0
Damietta,206664.0
