label,value
HP Inc.,53559000000.0
Colgate-Palmolive Company,17967000000.0
VR Group,1231400000.0
Duracell,2000000000.0
MAN Truck & Bus,10900000000.0
Kroger,148258000000.0
S&P Global,11181000000.0
Yakovlev Corporation,84644974000.0
Rusal,14812000000.0
Assicurazioni Generali,95190000000.0
Intel,52853000000.0
Oshkosh Corporation,1850000000.0
Mondelez International,31496000000.0
MoneyGram,2107300000.0
ArcelorMittal,61352000000.0
Danske Bank,41203000000.0
BlackRock,17860000000.0
Bank of China,473912000000.0
Bitdefender,330000000.0
Airbus,73420000000.0
Glencore,170497000000.0
Nordea,11743000000.0
GMM Grammy,6984000000.0
Lundbeck,22004000000.0
Audi AG,48800000000.0
Caterpillar Inc.,59427000000.0
Rosatom,967400000000.0
Electrolux,11500000000.0
Dacia,26011000000.0
SCS Software,556889000.0
AC Sparta Prague,376962000.0
Flex Ltd.,25813000000.0
Yara International,108000000.0
Mercedes-Benz Group,153218000000.0
Goldman Sachs,53512000000.0
Vitol,331000000000.0
STMicroelectronics,13269000000.0
Vodafone,47600000000.0
Bank of America,101887000000.0
Apple Inc.,416161000000.0
The Walt Disney Company,82722000000.0
Johnson & Johnson,88821000000.0
State Street Corporation,12148000000.0
LVMH,80807000000.0
AstraZeneca,24384000000.0
BYD Auto,483400000000.0
RTL Group,6234000000.0
China Airlines,138841403000.0
Inmarsat,1285900000.0
NPO Lavochkin,16066678000.0
Fannie Mae,122840000000.0
Viacom,25285000000.0
BAIC Group,480738070000.0
Fortinet,1010000000.0
Comcast,123731000000.0
Enel,140517000000.0
AXA,102733000000.0
Tesla,94827000000.0
Reliance Industries Limited,120000000000.0
Coinbase,3194208000.0
IHI Corporation,1090000000.0
Daihatsu,11500000000.0
Pfizer,63627000000.0
DuPont,13020000000.0
Kawasaki Heavy Industries,2260000000.0
América Móvil,816012844000.0
News Corp,8292000000.0
Microsoft,331839000000.0
Heidelberg Materials,17605900000.0
Curtiss-Wright,2110000000.0
Zurich Insurance Group,59001000000.0
Eni,82151000000.0
Linde Group,33005000000.0
thyssenkrupp AG,35041000000.0
Seagate Technology,11661000000.0
BioNTech,108589000.0
Kingston Technology,12800000000.0
BlackBerry,1040000000.0
Airbnb,11102000000.0
Dow Chemical Company,54968000000.0
Volvo Cars,330145000000.0
FedEx,93512000000.0
NCR Corporation,4610000000.0
Wanda Group,254980000000.0
American International Group,56437000000.0
IBM,62753000000.0
UnitedHealth Group,400278000000.0
BHP Group,43638000000.0
BAE Systems,23078000000.0
Anheuser-Busch InBev,59768000000.0
Infineon Technologies,11060000000.0
Amazon,716924000000.0
Atos SE,10839000000.0
Dell,102301000000.0
Industrial and Commercial Bank of China,800075000000.0
Mondragon Corporation,12033000000.0
Staples Inc.,22492000000.0
Procter & Gamble,84284000000.0
Stellantis,189544000000.0
Hormel,12458806000.0
Virgin Group,16600000000.0
Ural Airlines,66675300000.0
ALROSA,235089000000.0
Stihl,5479400000.0
Morgan Stanley,61761000000.0
Jaguar Land Rover,22800000000.0
Visa Inc.,40000000000.0
KBC Group,12200000000.0
Ilyushin,5086201200.0
United Parcel Service,91070000000.0
Adobe,17606000000.0
Telenor,113700000000.0
Alibaba Group,717289000000.0
Groupe PSA,60734000000.0
United States Postal Service,79324000000.0
Russian Post,164800000000.0
Otis Worldwide Corporation,13685000000.0
General Dynamics,39407000000.0
JPMorgan Chase,177556000000.0
Hearst Communications,11500000000.0
Deere & Company,61251000000.0
Thomson Reuters,12607000000.0
Volkswagen Group,321913000000.0
Costco,275235000000.0
Starz Entertainment,3604300000.0
Kohlberg Kravis Roberts,42300000000.0
Archer Daniels Midland,101556000000.0
Baidu,17931000000.0
Czech Airlines,800946000.0
Corel,268200000.0
Hindustan Aeronautics Limited,2740000000.0
American Express,38825000000.0
Nvidia,215938000000.0
Pemex,125943900000.0
Legrand,8416900000.0
General Motors,156735000000.0
ABB Group,28945000000.0
MegaFon,373297000000.0
Nornickel,13763000000.0
E.ON,37965000000.0
Eli Lilly and Company,45042700000.0
VARTA AG,793000000.0
Oracle Corporation,57399000000.0
The Hershey Company,10419294000.0
Accor,5056000000.0
Paramount Global,30154000000.0
Edeka,75300000000.0
Red Hat,2052230000.0
MetLife,73316000000.0
Marriott International,20773000000.0
BP,194630000000.0
Xerox,18045000000.0
"Rakuten Group, Inc.",1681000000.0
McKesson Corporation,263966000000.0
Gilead Sciences,29442000000.0
AMD,34639000000.0
AUTODOC,1555000000.0
Tatra,9094336000.0
Tencent,312694000000.0
Avaya,2970000000.0
Evergrande Group,507248000000.0
ConocoPhillips,54745000000.0
České dráhy,51644000000.0
Chery Automobile,480000000000.0
Barnes & Noble,5200000000.0
Agricultural Bank of China,540862000000.0
Goodyear Tire and Rubber Company,20066000000.0
Heckler & Koch,220950000.0
"Lietuvos geležinkeliai, AB",443700000.0
Iberdrola,53949000000.0
Würth,20200000000.0
Motorola Solutions,9112000000.0
Pioneer Corporation,365417000000.0
Berkshire Hathaway,371433000000.0
Novo,309064000000.0
Estée Lauder Companies,17737000000.0
HDFC Bank,25636300000.0
H&M,210400000000.0
Leonardo,19503000000.0
Bang & Olufsen,1853000000.0
Novell,956000000.0
TomTom,701000000.0
Naftogaz of Ukraine,124619938000.0
Gigabyte Technology,1700000000.0
Benetton Group,2100000000.0
