cLabel,pop
People's Republic of China,1404890000.0
India,1326093247.0
United States,340110988.0
Indonesia,275439000.0
Pakistan,223773700.0
Brazil,214211951.0
Nigeria,211400708.0
Bangladesh,171466990.0
Russia,146119928.0
Mexico,132274416.0
Ethiopia,128691692.0
Japan,123802000.0
Egypt,114535772.0
Philippines,112729484.0
Democratic Republic of the Congo,105789731.0
Vietnam,96208984.0
Iran,92417700.0
Turkey,85372377.0
Germany,83577140.0
France,68605616.0
United Kingdom,67326569.0
Thailand,66188503.0
South Africa,62027503.0
Italy,58850717.0
Tanzania,57310019.0
Myanmar,53370609.0
Colombia,52321152.0
South Korea,51466201.0
Spain,48592909.0
Kenya,48468138.0
Argentina,47327407.0
Uganda,47123531.0
Algeria,46164219.0
Afghanistan,41454761.0
Ukraine,41167335.0
Sudan,40533330.0
Iraq,38274618.0
Poland,37563071.0
Canada,36991981.0
Morocco,36828330.0
Angola,36749906.0
Uzbekistan,34915100.0
Malaysia,34231700.0
Peru,34157732.0
Saudi Arabia,33000000.0
Ghana,32833031.0
Madagascar,31964956.0
Venezuela,31250306.0
Ivory Coast,31165654.0
Mozambique,29668834.0
Nepal,29164578.0
Cameroon,28372687.0
Yemen,28250420.0
Australia,27614411.0
North Korea,26418204.0
Syria,23865423.0
Taiwan,23317031.0
Taiwan,23262544.0
Burkina Faso,23025776.0
Mali,22395489.0
Niger,21477348.0
Sri Lanka,21444000.0
Kazakhstan,20139914.0
Zambia,19610769.0
Chile,19458000.0
Chad,19319064.0
Romania,19053815.0
Malawi,17563749.0
Guinea,17521167.0
Cambodia,17423880.0
Guatemala,17263239.0
Kingdom of the Netherlands,17100715.0
Ecuador,16938986.0
Senegal,16876720.0
Zimbabwe,15178979.0
Rwanda,14569341.0
Benin,14111034.0
Burundi,13689450.0
South Sudan,12575714.0
Bolivia,12244159.0
Belgium,11825551.0
Tunisia,11565204.0
Somalia,11031386.0
Cuba,10985974.0
Haiti,10981229.0
Czech Republic,10909500.0
Dominican Republic,10760028.0
Sweden,10609460.0
Greece,10482487.0
Jordan,10428241.0
Portugal,10347892.0
Azerbaijan,10180770.0
United Arab Emirates,9890400.0
Israel,9840000.0
Hungary,9603634.0
Tajikistan,9504000.0
Switzerland,9104063.0
Belarus,9056080.0
Austria,8979894.0
Papua New Guinea,8935000.0
Honduras,8303771.0
Togo,7797694.0
Sierra Leone,7557212.0
Libya,7381023.0
Kyrgyzstan,7281800.0
Laos,6858160.0
Paraguay,6811297.0
Serbia,6605168.0
Bulgaria,6423207.0
Republic of the Congo,6142180.0
Turkmenistan,6117933.0
Lebanon,6100075.0
El Salvador,6029976.0
Kingdom of Denmark,5930987.0
Singapore,5866139.0
Finland,5652881.0
Norway,5627400.0
Slovakia,5409407.0
New Zealand,5307800.0
Costa Rica,5265575.0
Palestine,5227193.0
Liberia,5214030.0
Central African Republic,5152421.0
Ireland,5149139.0
Nicaragua,5142098.0
Oman,4829480.0
Mauritania,4736139.0
Panama,4570133.0
Kuwait,4464000.0
Georgia,3929581.0
Croatia,3871833.0
Bosnia and Herzegovina,3816459.0
Eritrea,3497000.0
Uruguay,3444263.0
Mongolia,3409939.0
Armenia,2930450.0
Lithuania,2860002.0
Albania,2811655.0
Jamaica,2697983.0
The Gambia,2639916.0
Qatar,2639211.0
Namibia,2533794.0
Botswana,2480244.0
Moldova,2409207.0
Slovenia,2066880.0
Gabon,2025137.0
Lesotho,2007201.0
Guinea-Bissau,1861283.0
Equatorial Guinea,1847549.0
Latvia,1845096.0
North Macedonia,1836713.0
Kosovo,1586659.0
Bahrain,1569666.0
Timor-Leste,1400638.0
Estonia,1369995.0
Trinidad and Tobago,1369125.0
Cyprus,1344976.0
Mauritius,1264613.0
Eswatini,1230506.0
Djibouti,1152944.0
Fiji,926276.0
Comoros,902348.0
Guyana,878674.0
Bhutan,787424.0
Luxembourg,690959.0
Montenegro,617213.0
Solomon Islands,611343.0
Suriname,563402.0
Cape Verde,555988.0
Malta,553214.0
Brunei,458949.0
Maldives,436330.0
Belize,411106.0
The Bahamas,399440.0
Iceland,364260.0
Barbados,303431.0
Vanuatu,300019.0
São Tomé and Príncipe,204327.0
Samoa,200010.0
Saint Lucia,167591.0
Kiribati,134518.0
Seychelles,119773.0
Grenada,114299.0
Saint Vincent and the Grenadines,109897.0
Tonga,108020.0
Antigua and Barbuda,101489.0
Andorra,89752.0
Federated States of Micronesia,75817.0
Dominica,74656.0
Marshall Islands,53127.0
Saint Kitts and Nevis,46922.0
Monaco,38857.0
Liechtenstein,37922.0
San Marino,33600.0
Palau,21729.0
Nauru,13650.0
Tuvalu,10643.0
Vatican City,882.0
