label,value
gold,79.0
iron,26.0
hydrogen,1.0
silver,47.0
oxygen,8.0
copper,29.0
carbon,6.0
aluminium,13.0
helium,2.0
nitrogen,7.0
sulfur,16.0
lithium,3.0
lead,82.0
tin,50.0
sodium,11.0
mercury,80.0
calcium,20.0
beryllium,4.0
neon,10.0
zinc,30.0
magnesium,12.0
silicon,14.0
potassium,19.0
uranium,92.0
fluorine,9.0
phosphorus,15.0
chlorine,17.0
boron,5.0
argon,18.0
titanium,22.0
chromium,24.0
cobalt,27.0
arsenic,33.0
iodine,53.0
manganese,25.0
nickel,28.0
platinum,78.0
krypton,36.0
vanadium,23.0
gallium,31.0
barium,56.0
radium,88.0
francium,87.0
bromine,35.0
selenium,34.0
radon,86.0
scandium,21.0
strontium,38.0
cadmium,48.0
germanium,32.0
rubidium,37.0
antimony,51.0
xenon,54.0
caesium,55.0
bismuth,83.0
tungsten,74.0
iridium,77.0
niobium,41.0
plutonium,94.0
polonium,84.0
palladium,46.0
osmium,76.0
molybdenum,42.0
yttrium,39.0
astatine,85.0
tellurium,52.0
hafnium,72.0
tantalum,73.0
technetium,43.0
zirconium,40.0
ruthenium,44.0
rhodium,45.0
indium,49.0
thorium,90.0
neptunium,93.0
actinium,89.0
lanthanum,57.0
rhenium,75.0
thallium,81.0
europium,63.0
rutherfordium,104.0
hassium,108.0
cerium,58.0
samarium,62.0
lutetium,71.0
seaborgium,106.0
californium,98.0
einsteinium,99.0
protactinium,91.0
dubnium,105.0
promethium,61.0
gadolinium,64.0
americium,95.0
bohrium,107.0
meitnerium,109.0
oganesson,118.0
neodymium,60.0
dysprosium,66.0
fermium,100.0
nobelium,102.0
praseodymium,59.0
terbium,65.0
curium,96.0
berkelium,97.0
darmstadtium,110.0
erbium,68.0
ytterbium,70.0
mendelevium,101.0
lawrencium,103.0
roentgenium,111.0
holmium,67.0
copernicium,112.0
nihonium,113.0
moscovium,115.0
thulium,69.0
livermorium,116.0
flerovium,114.0
tennessine,117.0
