label,value
Before Sunrise,5987386.0
Aladdin,1050693953.0
Murder on the Orient Express,27634716.0
Ghost,506000000.0
Night at the Museum: Battle of the Smithsonian,413106170.0
John Wick: Chapter 3 – Parabellum,327281779.0
Midnight Express,35000000.0
Being John Malkovich,23106667.0
Harry Potter and the Prisoner of Azkaban,797361618.0
Rambo: First Blood Part II,300400432.0
Full Metal Jacket,46300000.0
Knives Out,196103961.0
Star Wars: Episode VI – Return of the Jedi,475100000.0
The Hurt Locker,34200000.0
The Hobbit: An Unexpected Journey,1017003568.0
RoboCop,53425389.0
The Untouchables,76270454.0
The Exorcist,441306145.0
American Pie,235500000.0
Alice Through the Looking Glass,299457024.0
Léon: The Professional,45284974.0
A Man for All Seasons,28350000.0
Hidden Figures,235956898.0
Harry Potter and the Philosopher's Stone,978087613.0
Ordinary People,90000000.0
Indiana Jones and the Kingdom of the Crystal Skull,790653942.0
Pearl Harbor,449200000.0
The Big Lebowski,46000000.0
Eternal Sunshine of the Spotless Mind,74036715.0
The Pursuit of Happyness,307100000.0
Dances with Wolves,424208848.0
Thor,449326618.0
Thor: Ragnarok,853977126.0
Les Misérables,441809770.0
The Others,209900000.0
The Thin Red Line,98126565.0
Shakespeare in Love,289300000.0
Million Dollar Baby,216800000.0
The Godfather,270007394.0
The Dark Knight,1006234167.0
The Lost World: Jurassic Park,618638999.0
Annie Hall,38300000.0
Barbie,1345183126.0
All About Eve,8489279.0
The Grand Budapest Hotel,173082189.0
Raging Bull,23383987.0
The Amazing Spider-Man 2,708982323.0
Changeling,113398237.0
A Cinderella Story,70067909.0
Hulk,245360480.0
Batman v Superman: Dawn of Justice,873637528.0
Mr. Bean's Holiday,232225908.0
Bumblebee,467989645.0
Back to the Future Part III,245077583.0
Snatch,83557872.0
Who Framed Roger Rabbit,329803958.0
The Avengers,1518812988.0
X-Men: The Last Stand,459400000.0
Night at the Museum,574481229.0
The Meg,530243742.0
The Shape of Water,194349972.0
The Fast and the Furious: Tokyo Drift,158964610.0
Raiders of the Lost Ark,389900000.0
Terminator Salvation,371353001.0
Pretty Woman,463406268.0
Up in the Air,166842739.0
Ant-Man and the Wasp: Quantumania,476069301.0
The Matrix,467222728.0
"Good Morning, Vietnam",123900000.0
Network,23690757.0
Alien: Covenant,240891763.0
X-Men: Days of Future Past,746045700.0
The Departed,291480452.0
Gone Girl,369330363.0
Space Jam,230400000.0
Doctor Zhivago,111700000.0
Cinderella,542351353.0
Rush Hour 2,347325802.0
North by Northwest,9840000.0
Saw,103100000.0
The Conversation,4696729.0
The Wolverine,414800000.0
The Sixth Sense,672806292.0
Star Wars: Episode II – Attack of the Clones,653779970.0
The Intouchables,426588510.0
Harry Potter and the Chamber of Secrets,879793867.0
A.I. Artificial Intelligence,235926552.0
Sonic the Hedgehog 2,401872904.0
Gone with the Wind,402352579.0
Butch Cassidy and the Sundance Kid,102308889.0
American Sniper,547426372.0
As Good as It Gets,314000000.0
Eternals,402064899.0
Training Day,104876233.0
Schindler's List,322139355.0
The Twilight Saga: Eclipse,698491347.0
Pirates of the Caribbean: Dead Man's Chest,1066179725.0
The Wizard of Oz,26142032.0
Godzilla,524976069.0
Green Lantern,219851172.0
Back to the Future Part II,332500002.0
Once Upon a Time in America,5321508.0
Jumanji: Welcome to the Jungle,962102237.0
The Bourne Supremacy,290835269.0
The Twilight Saga: Breaking Dawn – Part 1,712205856.0
Mortal Engines,83672673.0
The Piano,40157856.0
Jurassic World,1670400637.0
The Blue Lagoon,58853106.0
Doctor Strange,677718395.0
The Grinch,511300000.0
Beauty and the Beast,1263521126.0
Live Free or Die Hard,388156011.0
Saving Private Ryan,482349603.0
Get Out,255745157.0
The Wolf of Wall Street,392000000.0
Argo,232300000.0
American Psycho,34266564.0
Moneyball,110200000.0
Charade,13474929.0
American Hustle,251000000.0
Good Will Hunting,225900000.0
Escape from Alcatraz,43005351.0
Sunset Boulevard,5000000.0
Shang-Chi and the Legend of the Ten Rings,432243292.0
Star Wars: Episode VII – The Force Awakens,2068223624.0
Monty Python’s Life of Brian,20745728.0
The Birds,11436618.0
Little Women,218843645.0
Spartacus,22800000.0
The King's Speech,423999102.0
Inferno,220000000.0
Spider-Man 2,788976453.0
