label,value
Illampu,6485.0
Ai-Petri,1234.2
Mount Tongariro,1978.0
Augustine Volcano,1260.0
"Peak Pobeda, Sakha",3003.0
Pico Simón Bolívar,5775.0
Dammastock,3630.0
Gramos,2520.0
Saser Kangri,7672.0
Nabro Volcano,2218.0
Schreckhorn,4078.0
Nanga Parbat,8126.0
Grand Teton,4199.0
Calbuco,2003.0
Auyán Tepuy,2500.0
Mount Okmok,1073.0
Mount Meru,4562.13
Nevado Mismi,5597.0
Damavand,5628.0
Emba Soira,3018.0
Adam's Peak,2243.0
Klyuchevskaya Sopka,4800.0
Villarrica Volcano,2850.0
Chomolhari,7326.0
Acamarachi,6046.0
Hoher Dachstein,2995.0
Mount Mitchell,2037.0
Hochwanner,2744.0
Khan Tengri,7010.0
Mount Kita,3193.0
Chamlang,7319.0
K2,8611.0
Brandberg,2573.0
Carrauntoohil,1038.6
Cerro Chirripó,3820.0
Mount Helicon,1748.0
Snowdon,1085.0
Nadelhorn,4327.0
Mount Tasman,3497.0
Katahdin,1606.0
Sabalan,4811.0
Shkhara,5193.2
Mount Sabyinyo,3645.0
Jade Dragon Snow Mountain,5596.0
Ojos del Salado,6893.0
Jungfrau,4158.0
Muztagh Tower,7273.0
Balmhorn,3690.0
Doi Inthanon,2565.0
Terich Mir,7708.0
Sněžka,1603.3
Mount Everest,8848.86
Mount Bintumani,1945.0
Mount Vesuvius,1281.0
Mount Yamantau,1640.0
Tödi,3612.0
Peñalara,2430.0
Galdhøpiggen,2468.854
Fisht,2867.0
Aneto,3404.0
Aiguille du Midi,3842.0
Mount Kumgang,1638.0
Korab,2764.0
Mount Ossa,1978.0
Mount Sidley,4181.0
Mount Longonot,2776.0
Mount Lu,1474.0
Pizzo Badile,3308.0
Mount Darwin,2488.0
Mönch,4110.0
Mount Hasan,3268.0
Coma Pedrosa,2942.0
Mount Rushmore,1745.0
Corno Grande,2912.0
Lovćen,1749.0
Mount Judi,2118.0
Llullaillaco,6723.0
Mount Shasta,4322.0
Mount Logan,5959.0
Mount Baker,3286.0
Shiveluch,3283.0
Socompa,6051.0
Gunung Raung,3260.0
Kyrgyz Alatau,4855.0
Mount Fuji,3777.24
Mont Orohena,2241.0
Gurla Mandhata,7694.0
Pico da Bandeira,2891.32
Gjeravica,2656.0
Mount Ngauruhoe,2291.0
Mount Tahat,2908.0
Viso,3841.0
Monte Binga,2436.0
Hkakabo Razi,5881.0
Mawson Peak,2745.0
Batura Sar,7795.0
Meron,1208.0
Mount Wutai,3061.0
Pomerape,6282.0
Hüiten Peak,4374.0
Phnom Aural,1813.0
Dufourspitze,4634.0
Baekdu Mountain,2744.0
Monte Perdido,3355.0
Karymsky,1536.0
Langtang Lirung,7227.0
Dovrefjell,2286.0
Aletschhorn,4194.0
Mount Bazardüzü,4466.0
Tatamailau,2963.0
Mount Catherine,2637.0
Uludağ,2542.0
Mount Song,1516.0
Piton des Neiges,3070.0
Aconcagua,6962.0
Roman-Kosh,1545.0
Chimborazo,6263.47
Mount Columbia,3747.0
Mont Ventoux,1910.0
Chappal Waddi,2419.0
Mount Kyllini,2374.0
Mount Cameroon,4095.0
Silisili,1858.0
Mount Fitz Roy,3406.0
Ushba,4737.0
Masherbrum,7821.0
Genting Highlands,1800.0
Barbeau Peak,2616.0
Tianmen Mountain,1519.0
Mount Elgon,4321.0
Sahand,3710.0
Mount Kazbek,5033.0
Penteliko Mountain,1109.0
Feldberg,1494.2
Brocken,1141.2
Mount Athos,2033.0
Half Dome,2693.0
Mount Aragats,4090.0
Ras Dashen,4533.0
Namcha Barwa,7782.0
Ubinas,5672.0
Mountain Merbabu,3142.0
Mount Elbert,4401.0
Mount Apo,2954.0
Jebel ech Chambi,1544.0
Muztagh Ata,7546.0
Maderas,1394.0
Großer Arber,1456.0
Mount Parnassus,2455.0
Ama Dablam,6814.0
Acatenango,3976.0
Pico Cristóbal Colón,5775.0
Rincón de la Vieja Volcano,1916.0
Saltoro Kangri,7742.0
Gasherbrum II,8034.0
Ampato,6288.0
Ismoil Somoni Peak,7495.0
Puncak Mandala,4760.0
Cheekha Dar,3611.0
Lyskamm,4532.0
Aburaj,1220.0
Cho Oyu,8188.0
Mount Tai,1545.0
Kanlaon Volcano,2435.0
Pikes Peak,4302.0
Chaitén,1122.0
Makalu,8485.0
Sulaiman-Too,1110.0
Anamudi,2236.0
Morne Diablotins,1447.0
Vodno,1066.0
Janq'u Uma,6425.0
Mount Tyree,4852.0
Misti,5825.0
Aiguille Verte,4122.0
Shishapangma,8027.0
Newtontoppen,1713.0
Mercedario,6800.0
Mount Adams,3743.4
Nevado del Huila,5364.0
Jannu,7711.0
Mount Agung,3142.0
Weissmies,4013.0
Volcán Azufral,4070.0
Mount Fairweather,4671.0
Cerro Torre,3128.0
Grossglockner,3798.0
Mulhacén,3479.0
Pichincha Volcano,4776.0
Akademia Nauk,1180.0
Glittertind,2464.0
Broad Peak,8051.0
Dent d'Hérens,4173.0
Illimani,6438.0
Gerlachovský štít,2655.0
Grandes Jorasses,4208.0
Chogolisa,7668.0
Iremel,1586.0
Vinicunca,5036.0
Breithorn,4160.0
