label,value
Silis,228.0
Podkamennaya Tunguska,1865.0
Ponoy,426.0
Ill,216.7
Apalachicola River,180.0
Sok,363.0
Piusa River,109.0
Cumberland River,1107.0
Loire,1006.0
River Bann,137.0
Eider,188.0
Tietê River,1150.0
Ohio River,1579.0
Dordogne,483.0
Benue River,1370.0
Tuul River,704.0
River Spey,172.0
Juruá River,3100.0
Biya,301.0
Rega,168.0
Pearl River,2400.0
Vasyugan,1082.0
Hvítá,185.0
Seine,776.67
Black Elster,179.0
Tumen River,549.0
Chindwin River,1207.0
Naryn River,807.0
Panj River,921.0
Psel,717.0
Marañón River,1737.0
Oka,1500.0
Narmada,1315.0
Ourthe,165.0
Selemdzha River,647.0
Salhyr,232.0
River Shannon,368.0
Ili River,1439.0
Amazon,6400.0
Mississippi River,3766.0
Yana,872.0
Platte River,499.0
Tobol,1591.0
Snake River,1735.0
Svir,224.0
Anabar,939.0
Japurá River,2820.0
Sulak,169.0
Kan,629.0
Łyna,289.0
Shilka,560.0
Maroni,611.7
Altaelva,229.0
Adour,308.0
Velikaya,430.0
Kafue River,1577.0
Brahmaputra River,2900.0
Dunajec,274.0
Tanaro,276.0
Vedea River,224.0
Ticino,248.0
Shire River,402.0
Senegal River,1050.0
Moksha,656.0
Werra,292.0
Amgun River,723.0
Hornád,286.0
Rhine,1232.7
Usumacinta River,560.0
Saigon River,256.0
Grijalva River,480.0
Jiu River,331.0
Uruguay River,1790.0
Moulouya River,520.0
Ariège,163.2
Venta,346.0
Teteriv,385.0
Laba River,214.0
Pregolya,123.0
Andalien River,130.0
Ghaggar-Hakra river,494.0
Weisse Elster,257.0
Vilyuy,2650.0
Orange River,2200.0
Putumayo River,1610.0
Ob,3650.0
Kalmius,209.0
Mologa,456.0
Elbe,1094.26
Ipoly,233.0
Luga,353.0
Loa River,440.0
White Drin,175.0
Zala,138.0
Indus River,3180.0
Oum Er-Rbia River,556.0
Hudson River,492.0
Neris,510.0
Izh,237.0
Svratka,173.9
Kızılırmak River,1355.0
Orkhon River,1124.0
Canadian River,1458.0
Allegheny River,523.0
Diyala River,231.0
Caledon River,480.0
Minnesota River,534.0
Fulda,218.0
Nen River,1370.0
Isar,291.5
Swan River,360.0
Great Zab,473.0
Chambal River,960.0
Tagus River,1007.0
River Dee,110.0
Northern Dvina,744.0
Mahanadi,860.0
Vishera,415.0
Yarra River,242.0
Aruwimi River,1300.0
Haliacmon,297.0
Maritsa,490.0
Creuse,263.38
Hooghly River,260.0
Tvertsa,188.0
Ubangi River,1060.0
Logone River,1000.0
Lielupe,119.0
Atrato River,644.0
Aldan,2273.0
Guadalquivir,657.0
Bistrița River,272.0
Sura,841.0
Tugela River,520.0
Bani River,430.0
Adda,313.0
Main,524.0
Madeira River,1450.0
Chubut River,810.0
Arachthos,110.0
Bermejo,1060.0
Dniester,1352.0
Argeș River,350.0
Lule River,450.0
Ilek,623.0
Akhtuba,537.0
Iset,606.0
Styr River,494.0
Savinja,102.0
Douro River,897.0
Tiber,405.0
Cetina,105.0
Aragvi River,112.0
Susquehanna River,715.0
Jhelum River,774.0
Yug,574.0
Tsna,451.0
Zbruch,247.0
Kasai River,2272.0
Hari River,1150.0
Kasari River,114.7
Kuma,802.0
Sungacha,210.0
Río de la Plata,290.0
Slave River,434.0
Zeravshan,877.0
Vardar,388.0
Júcar,509.0
Karun River,950.0
Klarälven,460.0
Little Yenisey,680.0
Pyasina,818.0
Rur,164.5
Sabarmati,371.0
Enguri,213.0
Damodar River,592.0
Alaknanda River,190.0
Drwęca,207.0
Kabul River,460.0
Nara,158.0
Aragón,195.0
Churchill River,1609.0
Beas River,470.0
Ardèche,125.1
Seyhan River,560.0
Mur,434.0
Neckar,362.0
Komoé River,900.0
Pärnu River,144.6
Leine,281.0
Bhagirathi River,205.0
Tara,144.0
Ofanto,170.0
Moskva River,473.0
Black Drin,177.0
Willamette River,301.0
Yenisei,3487.0
River Tees,137.0
Tana,369.6
Izhma,531.0
