
## lesswrong-posts: null (permuted candidate, 1000 draws) max|r| median 0.64 95% 0.75; R2@4PC median 0.20 95% 0.44; R2@11PC median 0.58 95% 0.82
target LOO predictive r from 4 PCs 0.53, from 11 PCs 0.75
candidate                R2@4PC(vs null95)  R2@kPC(vs null95)  LOO r(target) alone  LOO 4PC+cand  LOO 11PC+cand
front-loading               0.35               0.80            +0.64                +0.74        +0.77
portable-payload            0.32               0.89*           -0.28                +0.43        +0.71
read-now-premium            0.54*              0.90*           +0.54                +0.66        +0.82
source-uniqueness           0.16               0.76            -0.61                +0.46        +0.69
canonicality                0.37               0.90*           +0.40                +0.55        +0.71
breadth-of-consequence      0.44*              0.83*           +0.27                +0.55        +0.73
reader-empowerment          0.32               0.88*           -0.48                +0.47        +0.75
misleading-if-trusted       0.33               0.87*           +0.07                +0.48        +0.79
compounding-value           0.14               0.86*           -0.32                +0.46        +0.70
effort-to-value             0.29               0.89*           +0.28                +0.40        +0.69
discourse-currency          0.63*              0.91*           +0.91                +0.92        +0.89

## lesswrong-comments: null (permuted candidate, 1000 draws) max|r| median 0.56 95% 0.68; R2@4PC median 0.20 95% 0.39; R2@4PC median 0.20 95% 0.39
target LOO predictive r from 4 PCs 0.34, from 4 PCs 0.34
candidate                R2@4PC(vs null95)  R2@kPC(vs null95)  LOO r(target) alone  LOO 4PC+cand  LOO 4PC+cand
front-loading               0.29               0.29            +0.31                +0.37        +0.37
portable-payload            0.36               0.36            -0.52                +0.30        +0.30
read-now-premium            0.35               0.35            +0.32                +0.32        +0.32
source-uniqueness           0.20               0.20            +0.00                +0.39        +0.39
canonicality                0.04               0.04            -0.18                +0.32        +0.32
breadth-of-consequence      0.09               0.09            -0.79                +0.31        +0.31
reader-empowerment          0.25               0.25            -0.43                +0.29        +0.29
misleading-if-trusted       0.23               0.23            -0.32                +0.31        +0.31
compounding-value           0.37               0.37            -0.01                +0.31        +0.31
effort-to-value             0.36               0.36            +0.48                +0.39        +0.39
discourse-currency          0.45*              0.45*           +0.87                +0.83        +0.83

## manifund-proposals: null (permuted candidate, 1000 draws) max|r| median 0.63 95% 0.74; R2@4PC median 0.20 95% 0.43; R2@9PC median 0.48 95% 0.71
target LOO predictive r from 4 PCs 0.34, from 9 PCs 0.81
candidate                R2@4PC(vs null95)  R2@kPC(vs null95)  LOO r(target) alone  LOO 4PC+cand  LOO 9PC+cand
front-loading               0.63*              0.73*           +0.55                +0.37        +0.77
portable-payload            0.58*              0.70            +0.52                +0.33        +0.79
read-now-premium            0.49*              0.60            +0.59                +0.43        +0.78
source-uniqueness           0.87*              0.94*           +0.70                +0.47        +0.80
canonicality                0.53*              0.76*           +0.46                +0.25        +0.78
breadth-of-consequence      0.54*              0.93*           -0.25                +0.14        +0.80
reader-empowerment          0.19               0.43            +0.11                +0.25        +0.78
misleading-if-trusted       0.38               0.64            +0.52                +0.40        +0.83
compounding-value           0.19               0.66            +0.34                +0.34        +0.81
effort-to-value             0.22               0.59            -0.06                +0.40        +0.77
discourse-currency          0.45*              0.81*           +0.88                +0.85        +0.79
